timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-07-02T17:31:56,codecarbon,8d30ae8b-7895-477b-8601-969b884ff773,94.98160028457642,0.0004573809412317,4.815468889356978e-06,42.5,0.0,2.483034610748291,0.0011212955426838,0,6.55077683388086e-05,0.0011868033110226,Germany,DEU,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.14,2.4.1,16,AMD Ryzen 7 7735U with Radeon Graphics,,,,,6.621425628662109,machine,N,1.0
2024-07-02T17:36:34,codecarbon,041582d5-ac8d-4eab-885c-70fcd003336e,0.0016257762908935,7.181452837992423e-09,4.417245397302093e-06,42.5,0.0,2.483034610748291,1.7819636397891576e-08,0,8.146599572000924e-10,1.8634296355091668e-08,Germany,DEU,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.14,2.4.1,16,AMD Ryzen 7 7735U with Radeon Graphics,,,,,6.621425628662109,machine,N,1.0
2024-07-02T17:44:08,codecarbon,b50e3326-8e0c-42d5-8df5-65c58dff560e,0.0012845993041992188,5.6004782981170705e-09,4.359708338475431e-06,42.5,0.0,2.483034610748291,1.3960732354058161e-08,0,5.712815283231976e-10,1.4532013882381359e-08,Germany,DEU,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.14,2.4.1,16,AMD Ryzen 7 7735U with Radeon Graphics,,,,,6.621425628662109,machine,N,1.0
